"Collection Name","Title#1","Creator#1","CreatorLink#1","Subject#1","SubjectLink#1","Subject#2","SubjectLink#2","Subject#3","SubjectLink#3","Subject#4","Description#1","Description#2","Date#1","Date#2","Type#1","TypeLink#1","Type#2","TypeLink#2","Format#1","FormatLink#1","Format#2","FormatLink#2","Identifier ARK#1","Identifier#2","Language#1","LanguageLink#1","RelationLink#1","Coverage#1","CoverageLink#1","Rights#1","ln_RECORDID","ln_MEDIAID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Leonard Tinné Berthon Collection","Envelope addressed to Anna Berthon","Berthon, Leonard Tinné, 1876-1917, author","http://id.loc.gov/authorities/names/no2016120167","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","Box 1, Folder 3.","","1915 July 25","","Text","http://purl.org/dc/dcmitype/Text","","","envelopes","http://vocab.getty.edu/aat/300197601","","","https://ark.colorado.edu/ark:/47540/rm009q97q9zq","nspc_berthon_25_07_15_1.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","106","143526","4842","nspc_berthon_25_07_15_1.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~106~143526"
"Leonard Tinné Berthon Collection","The Dardanelles: Sir Ian Hamilton's despatch","Hamilton, Ian, 1853-1947, author","http://id.loc.gov/authorities/names/n80086468","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","Box 1, Folder 8.","","Undated","","Text","http://purl.org/dc/dcmitype/Text","","","clippings (information artifacts)","http://vocab.getty.edu/aat/300026867","","","https://ark.colorado.edu/ark:/47540/j81t6q53n5qw","nspc_berthon_dardanellesSuccess_1.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","141","143540","4842","nspc_berthon_dardanellesSuccess_1.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~141~143540"
"Leonard Tinné Berthon Collection","Turkey's campaign: Another Dardanelles success","Unidentified author","","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","Clipping from The Morning Post, with annotations.","Box 1, Folder 8.","[1915] September [3]","","Text","http://purl.org/dc/dcmitype/Text","","","clippings (information artifacts)","http://vocab.getty.edu/aat/300026867","","","https://ark.colorado.edu/ark:/47540/hp735s85135j","nspc_berthon_dardanellesSuccess_2.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","142","143546","4842","nspc_berthon_dardanellesSuccess_2.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~142~143546"
"Leonard Tinné Berthon Collection","Letters from Edward Lyon Berthon to ""Mother & Father"" and ""My dearest People""","Berthon, Edward Lyon, author","","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","The letter to ""Mother and Father"" is dated 1 September [1915], and the letter to ""My dearest People"" is dated 10 September [1915]. Letters are accompanied by an envelope postmarked 2 October 1915.","Box 1, Folder 6.","[1915] September 1","[1915] September 10","Text","http://purl.org/dc/dcmitype/Text","","","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","https://ark.colorado.edu/ark:/47540/zn5s8h57511r","nspc_berthon_fromELB_01_09_15.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","108","143522","4842","nspc_berthon_fromELB_01_09_15.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~108~143522"
"Leonard Tinné Berthon Collection","Letters from Edith Harrison to Raymond Tinné Berthon","Harrison, Edith, active 1919, author","","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","Box 1, Folder 9.","","1919 April 9","1919 April 10","Text","http://purl.org/dc/dcmitype/Text","","","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","https://ark.colorado.edu/ark:/47540/dg9v0w70h14d","nspc_berthon_fromRT_10_04_19.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","109","143520","4842","nspc_berthon_fromRT_10_04_19.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~109~143520"
"Leonard Tinné Berthon Collection","Letter from Leonard Tinné Berthon to ""Good People All""","Berthon, Leonard Tinné, 1876-1917, author","http://id.loc.gov/authorities/names/no2016120167","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","Box 1, Folder 2.","","1914 November 1","","Text","http://purl.org/dc/dcmitype/Text","","","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","https://ark.colorado.edu/ark:/47540/w00g9394305w","nspc_berthon_jointLetter_01_11_14.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","111","143518","4842","nspc_berthon_jointLetter_01_11_14.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~111~143518"
"Leonard Tinné Berthon Collection","Letter from Leonard Tinné Berthon to ""Good People""","Berthon, Leonard Tinné, 1876-1917, author","http://id.loc.gov/authorities/names/no2016120167","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","Box 1, Folder 3.","","1915 September 10 and 11","","Text","http://purl.org/dc/dcmitype/Text","","","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","https://ark.colorado.edu/ark:/47540/ms834g29r3nm","nspc_berthon_jointLetter_10_9_15.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","112","143514","4842","nspc_berthon_jointLetter_10_9_15.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~112~143514"
"Leonard Tinné Berthon Collection","Letter from Charles to ""Good People All""","Unidentified author","","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","With envelope postmarked 16 September 1914.","Box 1, Folder 6.","[1914 September]","","Text","http://purl.org/dc/dcmitype/Text","","","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","https://ark.colorado.edu/ark:/47540/273f5729z8f2","nspc_berthon_jointLetter_16_09_14.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","110","143512","4842","nspc_berthon_jointLetter_16_09_14.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~110~143512"
"Leonard Tinné Berthon Collection","Letter from Leonard Tinné Berthon to ""Good People""","Berthon, Leonard Tinné, 1876-1917, author","http://id.loc.gov/authorities/names/no2016120167","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","Box 1, Folder 3.","","1915 October 16 and 17","","Text","http://purl.org/dc/dcmitype/Text","","","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","https://ark.colorado.edu/ark:/47540/5x3t2n3341m4","nspc_berthon_jointLetter_16_10_1915.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","113","143510","4842","nspc_berthon_jointLetter_16_10_1915.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~113~143510"
"Leonard Tinné Berthon Collection","Letter from Leonard Tinné Berthon to ""Good People""","Berthon, Leonard Tinné, 1876-1917, author","http://id.loc.gov/authorities/names/no2016120167","Great Britain. Army. Royal Warwickshire Regiment--Officers--Biography","http://id.loc.gov/authorities/names/n97031271","World War, 1914-1918--Campaigns--Turkey--Gallipoli Peninsula--Personal narratives","http://id.loc.gov/authorities/subjects/sh85148256","","","","Box 1, Folder 3.","","1915 November 23","","Text","http://purl.org/dc/dcmitype/Text","","","letters (correspondence)","http://vocab.getty.edu/aat/300026879","","","https://ark.colorado.edu/ark:/47540/59628w07d3g5","nspc_berthon_jointLetter_23_11_1915.pdf","English","http://id.loc.gov/vocabulary/iso639-2/eng","Finding aid: https://rmoa.unm.edu/docviewer.php?docId=couspcms424.xml","","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","114","143508","4842","nspc_berthon_jointLetter_23_11_1915.pdf","https://cudl.colorado.edu//luna/servlet/detail/CUB~7~7~114~143508"
